Name,Time,URL
ARTMS_Virtual Angel,36-62,https://www.youtube.com/watch?v=EqUP26j4XWU
LE SSERAFIM_Perfect Night,76-126,https://www.youtube.com/watch?v=hLvWy2b857I
IVE_Accendio,35-59,https://www.youtube.com/watch?v=PGLx4V680J8
SEVENTEEN_청춘찬가,100-128,https://www.youtube.com/watch?v=bw4AuPrLWeA
도경수_Mars,167-198,https://www.youtube.com/watch?v=BzJdUkpKVA4
QWER_대관람차,147-178,https://www.youtube.com/watch?v=cmnJZFlKXUU
Stray Kids Ft.Charlie Puth_Lose My Breath,60-78,https://www.youtube.com/watch?v=SQ1yPMTIwCU
IU_Love wins all,106-135,https://www.youtube.com/watch?v=JleoAppaxi0
TAEYEON Ft.Verbal Jint_I,86-122,https://www.youtube.com/watch?v=4OrCA1OInoo
로꼬 × 펀치_Say Yes,115-144,https://www.youtube.com/watch?v=6GC8JF2FOgA
ASCA_Hibari,5-50,https://www.youtube.com/watch?v=7L1M7HLcpMw
cinnamons × evening cinema_summertime,56-89,https://www.youtube.com/watch?v=KMTo2LmixqQ
LiSA_Shine Days,18-57,https://www.youtube.com/watch?v=suiez9Jk3Gw
ARCANA PROJECT_とめどない潮騒に僕たちは何を歌うだろうか,134-160,https://www.youtube.com/watch?v=qh1MuDT-o3w
Saya_宇宙を見上げて,117-150,https://www.youtube.com/watch?v=8jODXL5mFi8
今井麻美_朝焼けのスターマイン,107-126,https://www.youtube.com/watch?v=LpBHdbLiBKs
上田麗奈_Literature,0-22,https://www.youtube.com/watch?v=ufLKDNlLrAQ
島崎信長_オーランドー,64-99,https://www.youtube.com/watch?v=qK7iFWXDjrU
柳麻美_光放て！,134-158,https://www.youtube.com/watch?v=JJvjhSHA00s
JAM Project_未来への咆哮,240-273,https://www.youtube.com/watch?v=dsUVfknAdxk
櫻川めぐ_繋いでいく未来,56-81,https://www.youtube.com/watch?v=VNsSo2QQ6tw
川田まみ_Halfway,160-185,https://www.youtube.com/watch?v=W_B-xtRdZcc
上条ひずる_涼風,172-210,
fhána_星をあつめて,192-237,https://www.youtube.com/watch?v=bHb9NlRO4V4
栗林美奈實_遙かなる地球の歌,347-370,https://www.youtube.com/watch?v=WCn7gwHoh0k
YOASOBI_Into the Night,75-102,https://www.youtube.com/watch?v=ORofRTMg-iY
Ami Fujisaki_Close My Eyes,97-141,https://www.youtube.com/watch?v=zQ9q3OpsYfw
茅原實里_みちしるべ,167-195,https://www.youtube.com/watch?v=UKU4B05fPck
孫盛希Ft.OZI_曖,115-136,https://www.youtube.com/watch?v=Bt_va48LunY
伍佰_煞到妳,55-80,https://www.youtube.com/watch?v=GUIMi_WoSc4
八三夭Ft.房東的貓_不搖滾,216-254,https://www.youtube.com/watch?v=tPtNox-zK9M
Uniparity_初雪,219-264,
周杰倫_紅塵客棧,69-92,https://www.youtube.com/watch?v=L6joGUdc6y4
徐佳瑩_現在不跳舞要幹嘛,188-215,https://www.youtube.com/watch?v=6m4lOE3S3CU
郁可唯 × 阿雲嘎_情人咒,211-235,https://www.youtube.com/watch?v=bT02_psBiq4
五月天_步步,188-211,https://www.youtube.com/watch?v=97axrS3Npxk
鄧紫棋_桃花諾,150-177,https://www.youtube.com/watch?v=SJHWJvOmpFY
動力火車_忠孝東路走九遍,180-206,https://www.youtube.com/watch?v=hFJAzTqYFHc
A-Lin_天若有情,167-198,https://www.youtube.com/watch?v=EJ1n6h-1mbE
玖壹壹_啪哩啪哩,84-114,https://www.youtube.com/watch?v=L1t6pA5H9S8
閻奕格_Vroom,34-55,https://www.youtube.com/watch?v=mysM4rpzdDQ
Will Smith_Prince Ali,110-135,https://www.youtube.com/watch?v=eGLSPyGszjo
Santino Fontana × Kristen Bell_Love Is an Open Door,6-33,https://www.youtube.com/watch?v=kQDw88hEr2c
Zachary Levi × Mandy Moore_I See the Light,127-161,https://www.youtube.com/watch?v=ILRs2r6lcHY
Earth Wind & Fire_September,80-123,https://www.youtube.com/watch?v=Gs069dndIYk
AURORA_Cure For Me,160-192,https://www.youtube.com/watch?v=K17df81RL9Y
Taylor Swift_Back To December,196-220,https://www.youtube.com/watch?v=QUwxKWT6m7U
Dean Lewis_Be Alright,80-109,https://www.youtube.com/watch?v=I0czvJ_jikg
Rachel Platten_Fight Song,102-133,https://www.youtube.com/watch?v=xo1VInw-SKc
Luis Fonsi Ft.Daddy Yankee_Despacito,137-176,https://www.youtube.com/watch?v=kJQP7kiw5Fk
Natti Natasha_Algarete,104-139,https://www.youtube.com/watch?v=MkRKdvKT4Vw
Marshmello × Manuel Turizo_El Merengue,56-87,https://www.youtube.com/watch?v=25vNYV0qdgA
HA-ASH - ¿Qué Me Faltó?,145-173,https://www.youtube.com/watch?v=ZBFEUQ2i-8g
Río Roma_Todavía No Te Olvido,164-181,https://www.youtube.com/watch?v=Lc5fvUzUpnM
Alvaro Soler_Sofia,111-142,https://www.youtube.com/watch?v=qaZ0oAh4evU
Janie_La Macarena,104-134,https://www.youtube.com/watch?v=VEIHUX55sr4
Fabien Incardona_Je me sens vivant,140-178,https://www.youtube.com/watch?v=_uu1DyQ2q2Y
Zaho Ft. Nej_Yabibi,34-61,https://www.youtube.com/watch?v=WrrkH41zkyM
Cécilia Cara_MAMA TERRE,138-162,https://www.youtube.com/watch?v=OyzRhaB4O70
Florent Mothe_Stop,8-34,https://www.youtube.com/watch?v=NsTyc1uDs9c
